date,hmm_state,hmm_p_crisis,bocpd_p_change,bocpd_break_freq_30d,risk_score_raw,risk_score_calibrated,alert_p90,alert_p95
1995-04-03,2,5.6454559031530044e-15,0.6535253314551194,9.0,0.0016045328,0.014522821952899298,0,0
1995-04-04,2,6.1956385700787395e-15,0.07934038315976388,9.0,0.0020062209,0.021615020309885342,0,0
1995-04-05,2,8.471392733122483e-15,0.027104845052717364,8.0,0.002233893,0.014522821952899298,0,0
1995-04-06,2,7.398989526203235e-15,0.026021924490163918,7.0,0.0018331729,0.026455027361710865,0,0
1995-04-07,2,6.464007338880123e-15,0.028610340714149647,6.0,0.0015935538,0.014522821952899298,0,0
1995-04-10,2,1.3344561964673801e-14,0.031223980496796595,5.0,0.0016864155,0.014522821952899298,0,0
1995-04-11,2,8.417813341573051e-15,0.029992490526889952,4.0,0.0018318718,0.014522821952899298,0,0
1995-04-12,2,9.306495917914473e-15,0.037209855514089125,4.0,0.0018675555,0.026455027361710865,0,0
1995-04-13,2,9.611030608715907e-15,0.0563554717730588,4.0,0.005788524,0.0742240200440089,0,0
1995-04-14,2,2.1445043501553335e-14,0.2947469133235994,3.0,0.005603948,0.0742240200440089,0,0
1995-04-18,2,1.8012303111946193e-14,0.4124406096848891,3.0,0.005962229,0.0742240200440089,0,0
1995-04-19,2,1.6869565074633052e-14,0.28057312656317995,3.0,0.005756452,0.0742240200440089,0,0
1995-04-20,2,1.5730688464482534e-14,0.10780442035609879,3.0,0.0056011197,0.0742240200440089,0,0
1995-04-21,2,1.9839357994209252e-14,0.1280638479469295,3.0,0.0057469415,0.0742240200440089,0,0
1995-04-24,2,2.0181191992469365e-14,0.056825070051383944,3.0,0.0063999426,0.0742240200440089,0,0
1995-04-25,2,1.3510047688707145e-14,0.02878141523312358,3.0,0.0065591517,0.08147039699057738,0,0
1995-04-26,2,8.744313577135818e-15,0.03514479807498148,3.0,0.0065721595,0.08773753295342128,0,0
1995-04-27,2,7.698944774049406e-15,0.3641043322618845,2.0,0.006003627,0.08773753295342128,0,0
1995-04-28,2,9.371307700681593e-15,0.3772495567463598,2.0,0.0059637423,0.08773753295342128,0,0
1995-05-01,2,1.0632661212656424e-14,0.30940746135493935,2.0,0.0062132613,0.08773753295342128,0,0
1995-05-02,2,3.062341593075143e-14,0.30542736767802614,2.0,0.006088817,0.08773753295342128,0,0
1995-05-03,2,2.994988377112201e-14,0.22810244643363,2.0,0.006864416,0.08961540088057518,0,0
1995-05-04,2,2.4664287015554826e-14,0.5510019958346035,3.0,0.007139766,0.08961540088057518,0,0
1995-05-05,2,1.131958294868465e-14,0.8106583579737269,4.0,0.0057680593,0.08773753295342128,0,0
1995-05-08,2,1.1023275471418202e-14,0.8830870133059391,5.0,0.005637094,0.0742240200440089,0,0
1995-05-09,2,8.363164601430642e-15,0.780559054220609,6.0,0.0057697855,0.08147039699057738,0,0
1995-05-10,2,8.93533607059543e-15,0.9525954280800699,7.0,0.0048128194,0.0742240200440089,0,0
1995-05-11,2,7.3130651895306e-15,0.915581933870345,8.0,0.0041217296,0.0742240200440089,0,0
1995-05-12,2,6.796344360855939e-15,0.188776278016109,7.0,0.002338681,0.046478331089019775,0,0
1995-05-15,2,5.9421817826860275e-15,0.3761405296287941,6.0,0.0025833629,0.04081632693608602,0,0
1995-05-16,2,1.563843732876888e-14,0.5424817907662023,7.0,0.0025168424,0.04081632693608602,0,0
1995-05-17,2,6.478705311589788e-13,0.28566575513904285,7.0,0.00210551,0.03030303120613098,0,0
1995-05-18,2,1.6446134910140204e-11,0.12566603595660633,7.0,0.0022748997,0.04081632693608602,0,0
1995-05-19,2,1.1589410492212615e-10,0.10571948469197788,7.0,0.0025529296,0.044538055857022606,0,0
1995-05-22,2,1.509073106546914e-11,0.2577798880875135,7.0,0.002052813,0.04081632693608602,0,0
1995-05-23,2,6.128683766548083e-13,0.06743073709984884,7.0,0.0022870828,0.04081632693608602,0,0
1995-05-24,2,2.86560965035957e-14,0.06530390819200978,7.0,0.002633666,0.04081632693608602,0,0
1995-05-25,2,6.136536408506602e-14,0.04802085098698163,7.0,0.0021721583,0.03030303120613098,0,0
1995-05-26,2,1.0742734697264386e-13,0.031660668771622894,7.0,0.0019068754,0.026455027361710865,0,0
1995-05-29,2,3.449649197406833e-13,0.03814196788904843,7.0,0.0023992136,0.04081632693608602,0,0
1995-05-31,2,1.1746763723716086e-11,0.0545299896541857,7.0,0.0016654435,0.026455027361710865,0,0
